name,datetime,tempmax,tempmin
Brisbane,2024-01-01,24.1,20.6
Brisbane,2024-01-02,25,21.1
Brisbane,2024-01-03,30.4,20.6
Brisbane,2024-01-04,30.6,22.6
Brisbane,2024-01-05,30.4,23.1
Brisbane,2024-01-06,27,22.6
Brisbane,2024-01-07,28.1,21.2
Brisbane,2024-01-08,28.5,22
Brisbane,2024-01-09,29.8,24.2
Brisbane,2024-01-10,31,24
Brisbane,2024-01-11,29.1,22.1
Brisbane,2024-01-12,29.5,21.5
Brisbane,2024-01-13,30.5,22.6
Brisbane,2024-01-14,31.5,21.6
Brisbane,2024-01-15,28.2,23.2
Brisbane,2024-01-16,28.1,22.6
Brisbane,2024-01-17,30,22.4
Brisbane,2024-01-18,32.2,23.7
Brisbane,2024-01-19,33.5,23.4
Brisbane,2024-01-20,31.2,24.4
Brisbane,2024-01-21,33,24.8
Brisbane,2024-01-22,35,24.7
Brisbane,2024-01-23,27.1,24.2
Brisbane,2024-01-24,29.1,21.8
Brisbane,2024-01-25,31,21
Brisbane,2024-01-26,30,23.2
Brisbane,2024-01-27,34.4,27.1
Brisbane,2024-01-28,29.5,24.5
Brisbane,2024-01-29,31,26
Brisbane,2024-01-30,29.4,25.6
Brisbane,2024-01-31,30.6,23.5
Brisbane,2024-02-01,30.1,22.7
Brisbane,2024-02-02,32.4,21.6
Brisbane,2024-02-03,31.1,24.2
Brisbane,2024-02-04,30.5,23.9
Brisbane,2024-02-05,31.1,23.3
Brisbane,2024-02-06,32.1,25.1
Brisbane,2024-02-07,30,25.1
Brisbane,2024-02-08,30,22.1
Brisbane,2024-02-09,27.2,21.6
Brisbane,2024-02-10,25.6,22.5
Brisbane,2024-02-11,29.9,21.6
Brisbane,2024-02-12,29.4,21.5
Brisbane,2024-02-13,28.1,21.8
Brisbane,2024-02-14,31,22
Brisbane,2024-02-15,29,24.5
Brisbane,2024-02-16,24,20.6
Brisbane,2024-02-17,29,20.1
Brisbane,2024-02-18,29.6,21.5
Brisbane,2024-02-19,28.6,21.6
Brisbane,2024-02-20,29.1,20.1
Brisbane,2024-02-21,31.4,21.5
Brisbane,2024-02-22,32,22.6
Brisbane,2024-02-23,34,22.6
Brisbane,2024-02-24,30.2,23.5
Brisbane,2024-02-25,29.4,23
Brisbane,2024-02-26,31.9,23.1
Brisbane,2024-02-27,30,24.2
Brisbane,2024-02-28,30.6,22
Brisbane,2024-02-29,30.6,22.7
Brisbane,2024-03-01,30.3,22.7
Brisbane,2024-03-02,31.9,22
Brisbane,2024-03-03,29.5,24.6
Brisbane,2024-03-04,31.9,24.1
Brisbane,2024-03-05,26.6,21.7
Brisbane,2024-03-06,29,20.5
Brisbane,2024-03-07,29.6,20.5
Brisbane,2024-03-08,29,20.9
Brisbane,2024-03-09,29.1,21.6
Brisbane,2024-03-10,27.7,20.6
Brisbane,2024-03-11,28,21.6
Brisbane,2024-03-12,29.5,20.5
Brisbane,2024-03-13,29.1,20.8
Brisbane,2024-03-14,29,20.7
Brisbane,2024-03-15,30.1,19.9
Brisbane,2024-03-16,27.8,21.1
Brisbane,2024-03-17,27.9,19.6
Brisbane,2024-03-18,28.4,21
Brisbane,2024-03-19,28.1,21.6
Brisbane,2024-03-20,30,21.2
Brisbane,2024-03-21,26.5,21.6
Brisbane,2024-03-22,26,20.2
Brisbane,2024-03-23,25.1,19
Brisbane,2024-03-24,21.1,19.1
Brisbane,2024-03-25,21.8,18.6
Brisbane,2024-03-26,22.6,20.5
Brisbane,2024-03-27,23.5,21.6
Brisbane,2024-03-28,27,20
Brisbane,2024-03-29,27,18
Brisbane,2024-03-30,27,20
Brisbane,2024-03-31,25,19
Brisbane,2024-04-01,25,20
Brisbane,2024-04-02,27.6,20.3
Brisbane,2024-04-03,30.9,19.9
Brisbane,2024-04-04,27.7,20.7
Brisbane,2024-04-05,25.6,20.1
Brisbane,2024-04-06,29.4,19.6
Brisbane,2024-04-07,28.9,22.3
Brisbane,2024-04-08,29.8,21.5
Brisbane,2024-04-09,28.8,20.5
Brisbane,2024-04-10,27,16.6
Brisbane,2024-04-11,27.2,15.7
Brisbane,2024-04-12,27.5,16.7
Brisbane,2024-04-13,26.5,17.3
Brisbane,2024-04-14,27.4,17.9
Brisbane,2024-04-15,27.7,17.6
Brisbane,2024-04-16,28.1,18.1
Brisbane,2024-04-17,27,17.6
Brisbane,2024-04-18,25.5,19.3
